doc_no,effective_date,ledger_account,gl_name,value,text
JE02-0001,,1000,Cash,4906.00,Depreciation charge
JE02-0001,17-Aug-2026,5400,Office Expenses,-4906.00,Depreciation charge
JE02-0002,22-Feb-2026,1100,Accounts Receivable,6649.25,Depreciation charge
JE02-0002,22-Feb-2026,1000,Cash,-6649.25,Depreciation charge
JE02-0003,08-Oct-2026,1010,Bank Current Account,89460.39,Customer receipt
JE02-0003,08-Oct-2026,1100,Accounts Receivable,-89460.39,Customer receipt
JE02-0004,19-Oct-2026,1100,Accounts Receivable,39913.48,Sales invoice
JE02-0004,19-Oct-2026,4000,Sales Revenue,-39913.48,Sales invoice
JE02-0005,05-Jul-2026,2100,Accrued Liabilities,22789.36,Depreciation charge
JE02-0005,05-Jul-2026,2000,Accounts Payable,-22789.36,Depreciation charge
JE02-0006,01-Feb-2026,1200,Inventory,88267.39,Asset purchase
JE02-0006,01-Feb-2026,1010,Bank Current Account,-88267.39,Asset purchase
JE02-0007,09-Sep-2026,5100,Salaries Expense,51144.62,Payroll run
JE02-0007,09-Sep-2026,1000,Cash,-51144.62,Payroll run
JE02-0008,10-Jun-2026,2000,Accounts Payable,83548.78,Supplier payment
JE02-0008,10-Jun-2026,1000,Cash,-83548.78,Supplier payment
JE02-0009,17-Nov-2026,2000,Accounts Payable,58167.64,Supplier payment
JE02-0009,17-Nov-2026,1010,Bank Current Account,-58167.64,Supplier payment
JE02-0010,05-Feb-2026,1100,Accounts Receivable,88527.06,Sales invoice
JE02-0010,05-Feb-2026,4000,Sales Revenue,-88527.06,Sales invoice
JE02-0011,09-Mar-2026,1200,Inventory,70568.22,Asset purchase
JE02-0011,09-Mar-2026,1000,Cash,-70568.22,Asset purchase
JE02-0012,21-Nov-2026,1200,Inventory,32672.20,Asset purchase
JE02-0012,21-Nov-2026,2000,Accounts Payable,-32672.20,Asset purchase
JE02-0013,03-Jan-2026,1200,Inventory,86021.17,Asset purchase
JE02-0013,03-Jan-2026,1010,Bank Current Account,-86021.17,Asset purchase
JE02-0014,21-Mar-2026,1010,Bank Current Account,486.31,Capital contribution
JE02-0014,21-Mar-2026,3000,Share Capital,-486.31,Capital contribution
JE02-0015,14-Dec-2026,1200,Inventory,42058.10,Asset purchase
JE02-0015,14-Dec-2026,2000,Accounts Payable,-42058.10,Asset purchase
JE02-0016,19-Jun-2026,1000,Cash,51899.24,Depreciation charge
JE02-0016,19-Jun-2026,1010,Bank Current Account,-51899.24,Depreciation charge
JE02-0017,12-Jan-2026,1100,Accounts Receivable,29388.30,Depreciation charge
JE02-0017,12-Jan-2026,2200,Loans Payable,-29388.30,Depreciation charge
JE02-0018,28-Sep-2026,1000,Cash,33696.42,Customer receipt
JE02-0018,28-Sep-2026,1100,Accounts Receivable,-33696.42,Customer receipt
JE02-0019,14-Mar-2026,1000,Cash,82157.85,Capital contribution
JE02-0019,14-Mar-2026,3000,Share Capital,-82157.85,Capital contribution
JE02-0020,26-Jul-2026,1000,Cash,74359.36,Sales invoice
JE02-0020,26-Jul-2026,4000,Sales Revenue,-74359.36,Sales invoice
JE02-0021,13-Feb-2026,1010,Bank Current Account,74832.47,Customer receipt
JE02-0021,13-Feb-2026,1100,Accounts Receivable,-74832.47,Customer receipt
JE02-0022,12-Aug-2026,1010,Bank Current Account,19079.48,Sales invoice
JE02-0022,12-Aug-2026,4000,Sales Revenue,-19079.48,Sales invoice
JE02-0023,13-Apr-2026,1200,Inventory,2394.57,Asset purchase
