ref,date,nominal_code,acct_name,dr_cr,amt,line_description
JE09-0001,12/25/2026,1200,Inventory,DR,65224.08,Asset purchase
JE09-0001,12/25/2026,1010,Bank Current Account,CR,65224.08,Asset purchase
JE09-0002,05/12/2026,1200,Inventory,DR,87044.97,Asset purchase
JE09-0002,05/12/2026,2000,Accounts Payable,CR,87044.97,Asset purchase
JE09-0003,08/24/2026,1000,Cash,DR,45505.55,Customer receipt
JE09-0003,08/24/2026,1100,Accounts Receivable,CR,45505.55,Customer receipt
JE09-0004,11/25/2026,1010,Bank Current Account,DR,72412.38,Loan drawdown
JE09-0004,11/25/2026,2100,Accrued Liabilities,CR,72412.38,Loan drawdown
JE09-0005,02/19/2026,5500,Marketing Expense,DR,66902.22,Operating expense
JE09-0005,02/19/2026,2000,Accounts Payable,CR,66902.22,Operating expense
JE09-0006,04/19/2026,5100,Salaries Expense,DR,85788.94,Operating expense
JE09-0006,04/19/2026,2000,Accounts Payable,CR,85788.94,Operating expense
JE09-0007,08/04/2026,1100,Accounts Receivable,DR,81198.00,Depreciation charge
JE09-0007,08/04/2026,1500,Fixed Assets,CR,81198.00,Depreciation charge
JE09-0008,08/26/2026,1010,Bank Current Account,DR,85409.66,Customer receipt
JE09-0008,08/26/2026,1100,Accounts Receivable,CR,85409.66,Customer receipt
JE09-0009,08/19/2026,1010,Bank Current Account,DR,48831.56,Sales invoice
JE09-0009,08/19/2026,4000,Sales Revenue,CR,48831.56,Sales invoice
JE09-0010,05/24/2026,1100,Accounts Receivable,DR,63962.02,Sales invoice
JE09-0010,05/24/2026,4000,Sales Revenue,CR,63962.02,Sales invoice
JE09-0011,12/07/2026,1010,Bank Current Account,DR,77590.59,Sales invoice
JE09-0011,12/07/2026,4000,Sales Revenue,CR,77590.59,Sales invoice
JE09-0012,02/18/2026,5100,Salaries Expense,DR,32828.56,Operating expense
JE09-0012,02/18/2026,1010,Bank Current Account,CR,32828.56,Operating expense
JE09-0013,07/06/2026,1000,Cash,DR,3160.05,Sales invoice
JE09-0013,07/06/2026,4000,Sales Revenue,CR,3160.05,Sales invoice
JE09-0014,07/15/2026,2000,Accounts Payable,DR,94322.45,Supplier payment
JE09-0014,07/15/2026,1010,Bank Current Account,CR,94322.45,Supplier payment
JE09-0015,11/28/2026,1010,Bank Current Account,DR,64906.97,Capital contribution
JE09-0015,11/28/2026,3000,Share Capital,CR,64906.97,Capital contribution
JE09-0016,09/13/2026,1100,Accounts Receivable,DR,17078.22,Depreciation charge
JE09-0016,09/13/2026,1500,Fixed Assets,CR,17078.22,Depreciation charge
JE09-0017,05/15/2026,1100,Accounts Receivable,DR,71873.62,Depreciation charge
