reference,date,gl_code,account_name,trans_amt,text
JE17-0001,08/02/2026,2000,Accounts Payable,56731.19,Supplier payment
JE17-0001,08/02/2026,1010,Bank Current Account,(56731.19),Supplier payment
JE17-0002,17/04/2026,1010,Bank Current Account,10447.88,Capital contribution
JE17-0002,17/04/2026,3000,Share Capital,(10447.88),Capital contribution
JE17-0003,16/03/2026,5600,Depreciation Expense,57582.72,Depreciation charge
JE17-0003,16/03/2026,5200,Rent Expense,(57582.72),Depreciation charge
JE17-0004,05/11/2026,1100,Accounts Receivable,8989.07,Sales invoice
JE17-0004,05/11/2026,4000,Sales Revenue,(8989.07),Sales invoice
JE17-0005,23/01/2026,5600,Depreciation Expense,40051.88,Depreciation charge
JE17-0005,23/01/2026,5000,Cost of Goods Sold,(40051.88),Depreciation charge
JE17-0006,12/07/2026,5600,Depreciation Expense,75039.35,Depreciation charge
JE17-0006,12/07/2026,4000,Sales Revenue,(75039.35),Depreciation charge
JE17-0007,28/04/2026,5400,Office Expenses,24291.03,Operating expense
JE17-0007,28/04/2026,1000,Cash,(24291.03),Operating expense
JE17-0008,09/07/2026,5200,Rent Expense,83311.28,Operating expense
JE17-0008,09/07/2026,2000,Accounts Payable,(83311.28),Operating expense
JE17-0009,17/02/2026,1000,Cash,54972.08,Customer receipt
JE17-0009,17/02/2026,1100,Accounts Receivable,(54972.08),Customer receipt
JE17-0010,14/06/2026,1010,Bank Current Account,65384.67,Sales invoice
JE17-0010,14/06/2026,4000,Sales Revenue,(65384.67),Sales invoice
JE17-0011,09/05/2026,1000,Cash,61951.98,Loan drawdown
JE17-0011,09/05/2026,1010,Bank Current Account,(61951.98),Loan drawdown
JE17-0012,25/07/2026,5600,Depreciation Expense,94222.10,Depreciation charge
JE17-0012,25/07/2026,4000,Sales Revenue,(94222.10),Depreciation charge
JE17-0013,18/09/2026,1010,Bank Current Account,17101.55,Customer receipt
JE17-0013,18/09/2026,1100,Accounts Receivable,(17101.55),Customer receipt
JE17-0014,13/12/2026,5100,Salaries Expense,54940.21,Payroll run
JE17-0014,13/12/2026,1010,Bank Current Account,(54940.21),Payroll run
JE17-0015,06/12/2026,2000,Accounts Payable,42509.52,Supplier payment
JE17-0015,06/12/2026,1000,Cash,(42509.52),Supplier payment
JE17-0016,26/06/2026,5100,Salaries Expense,38143.20,Operating expense
JE17-0016,26/06/2026,2000,Accounts Payable,(38143.20),Operating expense
JE17-0017,01/11/2026,5600,Depreciation Expense,37056.48,Depreciation charge
JE17-0017,01/11/2026,5100,Salaries Expense,(37056.48),Depreciation charge
JE17-0018,03/07/2026,5100,Salaries Expense,87967.99,Operating expense
JE17-0018,03/07/2026,1010,Bank Current Account,(87967.99),Operating expense
JE17-0019,02/10/2026,5200,Rent Expense,35323.71,Operating expense
JE17-0019,02/10/2026,1000,Cash,(35323.71),Operating expense
JE17-0020,02/10/2026,1010,Bank Current Account,67645.81,Capital contribution
