voucher,posted,gl_account,ledger_name,amount,details
JE19-0001,01/24/2026,1500,Fixed Assets,59826.23,Asset purchase
JE19-0001,01/24/2026,1000,Cash,(59826.23),Asset purchase
JE19-0002,05/07/2026,4100,Service Revenue,45794.63,Depreciation charge
JE19-0002,05/07/2026,1500,Fixed Assets,(45794.63),Depreciation charge
JE19-0003,06/01/2026,1000,Cash,60181.42,Loan drawdown
JE19-0003,06/01/2026,2000,Accounts Payable,(60181.42),Loan drawdown
JE19-0004,04/01/2026,2000,Accounts Payable,37692.42,Supplier payment
JE19-0004,04/01/2026,1000,Cash,(37692.42),Supplier payment
JE19-0005,10/05/2026,1100,Accounts Receivable,45229.42,Sales invoice
JE19-0005,10/05/2026,4200,Other Income,(45229.42),Sales invoice
JE19-0006,,1000,Cash,15107.70,Loan drawdown
JE19-0006,02/22/2026,5400,Office Expenses,(15107.70),Loan drawdown
JE19-0007,03/23/2026,1000,Cash,33870.85,Loan drawdown
JE19-0007,03/23/2026,5400,Office Expenses,(33870.85),Loan drawdown
JE19-0008,06/18/2026,5400,Office Expenses,46421.90,Depreciation charge
JE19-0008,06/18/2026,1500,Fixed Assets,(46421.90),Depreciation charge
JE19-0009,07/12/2026,1010,,2175.32,Loan drawdown
JE19-0009,07/12/2026,5400,Office Expenses,(2175.32),Loan drawdown
JE19-0010,08/18/2026,2000,Accounts Payable,46180.91,Supplier payment
JE19-0010,08/18/2026,1000,Cash,(46180.91),Supplier payment
JE19-0011,09/12/2026,1500,Fixed Assets,53901.66,Asset purchase
JE19-0011,09/12/2026,1000,Cash,(53901.66),Asset purchase
JE19-0012,10/28/2026,1010,Bank Current Account,82447.73,Loan drawdown
JE19-0012,10/28/2026,5200,Rent Expense,(82447.73),Loan drawdown
JE19-0013,05/18/2026,1100,Accounts Receivable,42774.09,Depreciation charge
JE19-0013,05/18/2026,1500,Fixed Assets,(42774.09),Depreciation charge
JE19-0014,01/20/2026,1000,Cash,69737.44,Loan drawdown
JE19-0014,01/20/2026,4000,Sales Revenue,(69737.44),Loan drawdown
JE19-0015,11/18/2026,1000,Cash,68537.19,Loan drawdown
JE19-0015,11/18/2026,5400,Office Expenses,(68537.19),Loan drawdown
JE19-0016,03/20/2026,1000,Cash,72779.88,Capital contribution
JE19-0016,03/20/2026,3000,Share Capital,(72779.88),Capital contribution
